index,Value,Tag
2022-09-03 16:15:00,61.96,BI-RUI-C009LD
2022-09-03 16:30:00,64.03,BI-RUI-C009LD
2022-09-03 16:45:00,61.86,BI-RUI-C009LD
2022-09-03 17:00:00,59.98,BI-RUI-C009LD
2022-09-03 17:15:00,62.5,BI-RUI-C009LD
2022-09-03 17:30:00,67.92,BI-RUI-C009LD
2022-09-03 17:45:00,60.44,BI-RUI-C009LD
2022-09-03 18:00:00,62.48,BI-RUI-C009LD
2022-09-03 18:15:00,61.78,BI-RUI-C009LD
2022-09-03 18:30:00,63.73,BI-RUI-C009LD
2022-09-03 18:45:00,64.9,BI-RUI-C009LD
2022-09-03 19:00:00,65.46,BI-RUI-C009LD
2022-09-03 19:15:00,65.69,BI-RUI-C009LD
2022-09-03 19:30:00,66.7,BI-RUI-C009LD
2022-09-03 19:45:00,69.3,BI-RUI-C009LD
2022-09-03 20:00:00,72.79,BI-RUI-C009LD
2022-09-03 20:15:00,74.03,BI-RUI-C009LD
2022-09-03 20:30:00,73.76,BI-RUI-C009LD
2022-09-03 20:45:00,77.6,BI-RUI-C009LD
2022-09-03 21:00:00,77.6,BI-RUI-C009LD
2022-09-03 21:15:00,76.36,BI-RUI-C009LD
2022-09-03 21:30:00,76.72,BI-RUI-C009LD
2022-09-03 21:45:00,77.27,BI-RUI-C009LD
2022-09-03 22:00:00,77.6,BI-RUI-C009LD
2022-09-03 22:15:00,77.6,BI-RUI-C009LD
2022-09-03 22:30:00,76.84,BI-RUI-C009LD
2022-09-03 22:45:00,77.4,BI-RUI-C009LD
2022-09-03 23:00:00,76.22,BI-RUI-C009LD
2022-09-03 23:15:00,77.25,BI-RUI-C009LD
2022-09-03 23:30:00,77.03,BI-RUI-C009LD
2022-09-03 23:45:00,76.77,BI-RUI-C009LD
2022-09-04 00:00:00,77.17,BI-RUI-C009LD
2022-09-04 00:15:00,75.57,BI-RUI-C009LD
2022-09-04 00:30:00,72.72,BI-RUI-C009LD
2022-09-04 00:45:00,72.8,BI-RUI-C009LD
2022-09-04 01:00:00,73.52,BI-RUI-C009LD
2022-09-04 01:15:00,73.32,BI-RUI-C009LD
2022-09-04 01:30:00,,BI-RUI-C009LD
2022-09-04 01:45:00,71.6325,BI-RUI-C009LD
2022-09-04 02:00:00,68.67,BI-RUI-C009LD
2022-09-04 02:15:00,67.07,BI-RUI-C009LD
2022-09-04 02:30:00,63.78,BI-RUI-C009LD
2022-09-04 02:45:00,62.33,BI-RUI-C009LD
2022-09-04 03:00:00,63.9,BI-RUI-C009LD
2022-09-04 03:15:00,59.38,BI-RUI-C009LD
2022-09-04 03:30:00,52.49,BI-RUI-C009LD
2022-09-04 03:45:00,47.41,BI-RUI-C009LD
2022-09-04 04:00:00,41.7,BI-RUI-C009LD
2022-09-04 04:15:00,44.48,BI-RUI-C009LD
2022-09-04 04:30:00,42.06,BI-RUI-C009LD
2022-09-04 04:45:00,42.76,BI-RUI-C009LD
2022-09-04 05:00:00,41.81,BI-RUI-C009LD
2022-09-04 05:15:00,42.03,BI-RUI-C009LD
2022-09-04 05:30:00,43.47,BI-RUI-C009LD
2022-09-04 05:45:00,41.7,BI-RUI-C009LD
2022-09-04 06:00:00,41.7,BI-RUI-C009LD
2022-09-04 06:15:00,52.5,BI-RUI-C009LD
2022-09-04 06:30:00,45.09,BI-RUI-C009LD
2022-09-04 06:45:00,41.45,BI-RUI-C009LD
2022-09-04 07:00:00,41.7,BI-RUI-C009LD
2022-09-04 07:15:00,58.48,BI-RUI-C009LD
2022-09-04 07:30:00,53.09,BI-RUI-C009LD
2022-09-04 07:45:00,43.28,BI-RUI-C009LD
2022-09-04 08:00:00,64.61,BI-RUI-C009LD
2022-09-04 08:15:00,52.85,BI-RUI-C009LD
2022-09-04 08:30:00,65.49,BI-RUI-C009LD
2022-09-04 08:45:00,53.65,BI-RUI-C009LD
2022-09-04 09:00:00,65.83,BI-RUI-C009LD
2022-09-04 09:15:00,63.8,BI-RUI-C009LD
